Region;Sector;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
EUS;gas;1.35E-01;2.06E-01;2.89E-01;3.91E-01;5.27E-01;6.48E-01;6.40E-01;5.57E-01;3.25E-01;1.92E-01
EUS;ppp;0.175290856;0.25133726;0.350197522;0.499505347;0.675038981;0.921935143;1.077333321;1.313848767;1.65917569;3.206017404
EUS;nmm;0.056840935;0.09780956;0.174636024;0.247917485;0.331566726;0.392576711;0.556849518;0.633660541;0.713355897;0.938794757
EUS;nfm;0.001928279;0.004078371;0.006611103;0.009632331;0.011762564;0.01242863;0.018580669;0.020691942;0.021406159;0.025791346
EUS;mvh;0.16689346;0.072358846;0.170933438;0.244501407;0.632866456;0.836206875;1.035653656;2.017116504;4.220749315;11.30249727
EUS;ele;1.030372862;1.590802745;1.907479715;2.139099405;2.503958132;2.795547687;2.858939346;2.923687233;3.019838507;3.272148008
EUS;COL;0.0098271;0.019977082;0.02396703;0.023382463;0.020691958;0.019002377;0.015739821;0.014723035;0.013283352;0.008940913
EUS;CRU;3.78788E-09;2.0046E-09;2.49323E-09;8.27167E-09;1.17745E-08;3.52358E-08;7.60494E-08;1.62428E-07;3.40344E-07;5.59854E-07
EUS;CHM;0.469363539;0.756862498;1.02202615;1.290131744;1.592325801;1.925563791;2.435210053;3.154122932;4.381725295;7.355134697
EUS;IRS;0.001062224;0.002246637;0.003641833;0.005306125;0.006479598;0.006846512;0.010235462;0.011398491;0.011791929;0.01420758
EUS;MAC;0.219360349;0.175190502;0.352928023;0.530581185;1.022330423;1.431596469;1.913655498;3.0818253;5.739857032;12.69084242
EUS;FOT;6.126285533;7.602765221;8.183665839;8.92567475;9.438355671;9.941991303;11.16671381;12.75198008;15.65593458;18.62314807
EUS;ROI;0.979192964;1.476270148;1.906701674;2.417772809;2.942580497;3.698859905;4.884198478;6.937177367;11.22824544;21.13963348
EUS;BUI;0.037288978;0.070224381;0.108610603;0.167983549;0.21757413;0.254712872;0.3759701;0.494274011;0.632174632;1.237773989
EUS;TRN;1.283683923;1.983166675;2.381815657;2.991097988;3.199420262;3.987081481;4.828392191;5.305009894;6.866289095;10.41612638
EUS;AGR;1.412462651;1.727315937;1.831705946;1.958398648;2.05892428;2.188162352;2.445447743;2.800103125;3.45016326;4.017607505
EUS;SER;2.682967638;4.359284381;6.07290781;8.241623653;10.85019893;14.79846753;19.30118213;26.06795296;41.03746858;81.82376439
EUS;DWE;3.299897381;5.126586313;6.337994814;7.644554562;8.478288693;9.588675233;10.2203324;11.87493991;15.79123426;23.03766336
