"r";"i";"hh";"Value"
"FRA";"CRU";"hh4";5.38e-07
"FRA";"CHM";"hh4";9.991840555
"FRA";"IRS";"hh4";0.018400108
"FRA";"MAC";"hh4";13.274601246
"FRA";"FOT";"hh4";25.07794515
"FRA";"ROI";"hh4";16.872847072
"FRA";"BUI";"hh4";2.846566375
"FRA";"TRN";"hh4";9.511867775
"FRA";"AGR";"hh4";2.995893337
"FRA";"SER";"hh4";137.79521644
"ITA";"oil";"hh4";6.596223893
"ITA";"gas";"hh4";2.277216785
"ITA";"ppp";"hh4";4.200816408
"ITA";"nmm";"hh4";1.147496485
"ITA";"nfm";"hh4";0.002244842
"ITA";"mvh";"hh4";2.669915045
"ITA";"ele";"hh4";3.725425872
"ITA";"COL";"hh4";0.001257703
"ITA";"CRU";"hh4";9.45e-07
"ITA";"CHM";"hh4";8.083020964
"ITA";"IRS";"hh4";0.000460986
"ITA";"MAC";"hh4";6.303369669
"ITA";"FOT";"hh4";22.60799943
"ITA";"ROI";"hh4";26.09395798
"ITA";"BUI";"hh4";1.640786687
"ITA";"TRN";"hh4";8.380678988
"ITA";"AGR";"hh4";2.742728036
"ITA";"SER";"hh4";125.2874205
"POL";"oil";"hh4";2.27134453
"POL";"gas";"hh4";0.292632982
"POL";"ppp";"hh4";1.028319945
"POL";"nmm";"hh4";0.497869801
"POL";"nfm";"hh4";0.036842193
"POL";"mvh";"hh4";1.317468841
"POL";"ele";"hh4";2.279062797
"POL";"COL";"hh4";0.211258687
"POL";"CRU";"hh4";2.286e-07
"POL";"CHM";"hh4";2.428156619
"POL";"IRS";"hh4";0.025272487
"POL";"MAC";"hh4";1.323666664
"POL";"FOT";"hh4";8.775455601
"POL";"ROI";"hh4";3.818732594
"POL";"BUI";"hh4";2.818585137
"POL";"TRN";"hh4";2.301423228
"POL";"AGR";"hh4";1.157538733
"POL";"SER";"hh4";21.61011678
"UKI";"oil";"hh4";9.873035474
"UKI";"gas";"hh4";1.273750469
"UKI";"ppp";"hh4";5.900863432
"UKI";"nmm";"hh4";0.690752468
"UKI";"nfm";"hh4";0.02006635
"UKI";"mvh";"hh4";13.126462501
"UKI";"ele";"hh4";3.198564763
"UKI";"COL";"hh4";0.023877659
"UKI";"CRU";"hh4";1.16e-06
"UKI";"CHM";"hh4";9.137436296
"UKI";"IRS";"hh4";0.002131573
"UKI";"MAC";"hh4";9.216200794
"UKI";"FOT";"hh4";27.59962483
"UKI";"ROI";"hh4";23.00857264
"UKI";"BUI";"hh4";1.591687617
"UKI";"TRN";"hh4";11.335902424
"UKI";"AGR";"hh4";2.288989004
"UKI";"SER";"hh4";139.10970214
"ESP";"oil";"hh4";5.754448682
"ESP";"gas";"hh4";0.213341875
"ESP";"ppp";"hh4";1.947381798
"ESP";"nmm";"hh4";0.157085684
"ESP";"nfm";"hh4";0.002770536
"ESP";"mvh";"hh4";5.239803061
"ESP";"ele";"hh4";3.426119125
"ESP";"COL";"hh4";0.00070809
"ESP";"CRU";"hh4";6.81e-07
"ESP";"CHM";"hh4";3.731498959
"ESP";"IRS";"hh4";0.00143086
"ESP";"MAC";"hh4";3.851511062
"ESP";"FOT";"hh4";18.688812102
"ESP";"ROI";"hh4";14.865586332
"ESP";"BUI";"hh4";0.800330791
"ESP";"TRN";"hh4";5.346821674
"ESP";"AGR";"hh4";2.870274162
"ESP";"SER";"hh4";102.88970733
"BNL";"oil";"hh4";3.890591137
"BNL";"gas";"hh4";1.107139918
"BNL";"ppp";"hh4";1.990337355
"BNL";"nmm";"hh4";0.509782558
"BNL";"nfm";"hh4";0.015777539
"BNL";"mvh";"hh4";5.899322767
"BNL";"ele";"hh4";1.415451188
"BNL";"COL";"hh4";0.004746741
"BNL";"CRU";"hh4";4.79e-07
"BNL";"CHM";"hh4";3.531140272
"BNL";"IRS";"hh4";0.014559224
"BNL";"MAC";"hh4";4.406088442
"BNL";"FOT";"hh4";11.360968595
"BNL";"ROI";"hh4";8.634190558
"BNL";"BUI";"hh4";0.223630716
"BNL";"TRN";"hh4";4.973556778
"BNL";"AGR";"hh4";1.347481157
"BNL";"SER";"hh4";60.74839168
"EUN";"oil";"hh4";4.95660099
"EUN";"gas";"hh4";0.163117137
"EUN";"ppp";"hh4";2.144798081
"EUN";"nmm";"hh4";0.316347422
"EUN";"nfm";"hh4";0.003659227
"EUN";"mvh";"hh4";8.325466132
"EUN";"ele";"hh4";6.269766044
"EUN";"COL";"hh4";0.022496318
"EUN";"CRU";"hh4";3.5e-06
"EUN";"CHM";"hh4";3.818698734
"EUN";"IRS";"hh4";0.003523106
"EUN";"MAC";"hh4";5.93659616
"EUN";"FOT";"hh4";15.809575845
"EUN";"ROI";"hh4";8.161149604
"EUN";"BUI";"hh4";0.13804015
"EUN";"TRN";"hh4";5.047159225
"EUN";"AGR";"hh4";1.959594502
"EUN";"SER";"hh4";67.21679321
"EUS";"oil";"hh4";9.988032647
"EUS";"gas";"hh4";1.237489648
"EUS";"ppp";"hh4";2.365426416
"EUS";"nmm";"hh4";1.188276097
"EUS";"nfm";"hh4";0.039440871
"EUS";"mvh";"hh4";2.929471751
"EUS";"ele";"hh4";5.913903704
"EUS";"COL";"hh4";0.032007539
"EUS";"CRU";"hh4";2.288e-07
"EUS";"CHM";"hh4";5.540608632
"EUS";"IRS";"hh4";0.021726642
"EUS";"MAC";"hh4";4.835099352
