"r";"category";"hh";"Value"
"BNL";"usk_labor";"hh5";52.9451073
"BNL";"rkr";"hh5";220.61724385
"BNL";"rkx_ele";"hh5";4.537318845
"BNL";"taxes income";"hh5";29.22038765
"BNL";"tax on income";"hh5";-130.66483332
"BNL";"cons_hh";"hh5";-133.16336978
"BNL";"savings";"hh5";-208.16233183
"EUN";"skl_labor";"hh5";165.2568593
"EUN";"usk_labor";"hh5";77.13135822
"EUN";"rkr";"hh5";171.85774677
"EUN";"rkx_ele";"hh5";6.599488266
"EUN";"taxes income";"hh5";33.77691708
"EUN";"tax on income";"hh5";-152.73506365
"EUN";"cons_hh";"hh5";-174.52764154
"EUN";"savings";"hh5";-127.35966441
"EUS";"skl_labor";"hh5";112.38993003
"EUS";"usk_labor";"hh5";64.21924139
"EUS";"rkr";"hh5";178.30564397
"EUS";"rkx_ele";"hh5";7.273476154
"EUS";"taxes income";"hh5";68.71250508
"EUS";"tax on income";"hh5";-51.21252115
"EUS";"cons_hh";"hh5";-349.9267328
"EUS";"savings";"hh5";-29.76154271
