"r";"i";"hh";"Value"
"POL";"gas";"hh4";0.290670724
"POL";"ppp";"hh4";1.025735054
"POL";"nmm";"hh4";0.496661941
"POL";"nfm";"hh4";0.036710424
"POL";"mvh";"hh4";1.338016243
"POL";"ele";"hh4";2.26
"POL";"COL";"hh4";0.207807737
"POL";"CRU";"hh4";2.335576e-07
"POL";"CHM";"hh4";2.424884019
"POL";"IRS";"hh4";0.025182099
"POL";"MAC";"hh4";1.337413328
"POL";"FOT";"hh4";8.680732153
"POL";"ROI";"hh4";3.831324232
"POL";"BUI";"hh4";2.813625468
"POL";"TRN";"hh4";2.28751668
"POL";"AGR";"hh4";1.143923514
"POL";"SER";"hh4";13.515815867
"POL";"DWE";"hh4";8.02276946
"UKI";"oil";"hh4";9.254889398
"UKI";"gas";"hh4";1.158149011
"UKI";"ppp";"hh4";5.462349466
"UKI";"nmm";"hh4";0.647288243
"UKI";"nfm";"hh4";0.018568479
"UKI";"mvh";"hh4";12.57
"UKI";"ele";"hh4";2.885101926
"UKI";"COL";"hh4";0.021088585
"UKI";"CRU";"hh4";1.078215e-06
"UKI";"CHM";"hh4";8.440066068
"UKI";"IRS";"hh4";0.00197246
"UKI";"MAC";"hh4";8.774810628
"UKI";"FOT";"hh4";25.09609218
"UKI";"ROI";"hh4";21.49572259
"UKI";"BUI";"hh4";1.506490244
"UKI";"TRN";"hh4";10.734779301
"UKI";"AGR";"hh4";2.0851493
"UKI";"SER";"hh4";112.82890855
"UKI";"DWE";"hh4";15.417856579
"ESP";"oil";"hh4";5.669447178
"ESP";"gas";"hh4";0.209152131
"ESP";"ppp";"hh4";1.923639572
"ESP";"nmm";"hh4";0.154530393
"ESP";"nfm";"hh4";0.00271
"ESP";"mvh";"hh4";5.225152718
"ESP";"ele";"hh4";3.353902193
"ESP";"COL";"hh4";0.000679835
"ESP";"CRU";"hh4";6.71385e-07
"ESP";"CHM";"hh4";3.673967848
"ESP";"IRS";"hh4";0.001401098
"ESP";"MAC";"hh4";3.83163753
"ESP";"FOT";"hh4";18.299210333
"ESP";"ROI";"hh4";14.708045856
"ESP";"BUI";"hh4";0.790538257
"ESP";"TRN";"hh4";5.271511713
"ESP";"AGR";"hh4";2.810572077
"ESP";"SER";"hh4";84.62944075
"ESP";"DWE";"hh4";18.4095297
"BNL";"oil";"hh4";3.793440688
"BNL";"gas";"hh4";1.072638957
"BNL";"ppp";"hh4";1.947697777
"BNL";"nmm";"hh4";0.498
"BNL";"nfm";"hh4";0.015433829
"BNL";"mvh";"hh4";5.745910208
"BNL";"ele";"hh4";1.372357866
"BNL";"COL";"hh4";0.004587969
"BNL";"CRU";"hh4";4.64736e-07
"BNL";"CHM";"hh4";3.44865137
"BNL";"IRS";"hh4";0.014242055
"BNL";"MAC";"hh4";4.333394194
"BNL";"FOT";"hh4";11.052950274
"BNL";"ROI";"hh4";8.43677827
"BNL";"BUI";"hh4";0.217486587
"BNL";"TRN";"hh4";4.864985102
"BNL";"AGR";"hh4";1.310969412
"BNL";"SER";"hh4";43.4090845
"BNL";"DWE";"hh4";16.236649407
"EUN";"oil";"hh4";4.942630139
"EUN";"gas";"hh4";0.164682249
"EUN";"ppp";"hh4";2.14
"EUN";"nmm";"hh4";0.319683662
"EUN";"nfm";"hh4";0.003708437
"EUN";"mvh";"hh4";8.375871226
"EUN";"ele";"hh4";6.267152856
"EUN";"COL";"hh4";0.022517532
"EUN";"CRU";"hh4";3.47838e-06
"EUN";"CHM";"hh4";3.813691247
"EUN";"IRS";"hh4";0.003570485
"EUN";"MAC";"hh4";5.964844629
"EUN";"FOT";"hh4";15.71678271
"EUN";"ROI";"hh4";8.165019762
"EUN";"BUI";"hh4";0.13988285
"EUN";"TRN";"hh4";5.041351013
"EUN";"AGR";"hh4";1.947512742
"EUN";"SER";"hh4";43.36269676
"EUN";"DWE";"hh4";23.8075498
"EUS";"oil";"hh4";10.194682197
"EUS";"gas";"hh4";1.197
"EUS";"ppp";"hh4";2.391182088
"EUS";"nmm";"hh4";1.190510059
"EUS";"nfm";"hh4";0.039272611
"EUS";"mvh";"hh4";3.05277016
"EUS";"ele";"hh4";5.782626579
"EUS";"COL";"hh4";0.030462856
"EUS";"CRU";"hh4";2.384774e-07
"EUS";"CHM";"hh4";5.589332985
